unit_id,message_frame,proof_badge,baseline_familiarity_0_10,activation_score_0_10,friction_guardrail_0_10,assignment_batch
PX-0001,Momentum,Absent,6.12,5.67,2.29,Batch A
PX-0002,Clarity,Verified,4.01,5.33,2.37,Batch B
PX-0003,Momentum,Verified,4.89,5.75,2.45,Batch C
PX-0004,Momentum,Verified,6.34,6.43,3.49,Batch A
PX-0005,Momentum,Verified,7.08,5.88,1.64,Batch A
PX-0006,Momentum,Verified,2.05,4.87,1.96,Batch A
PX-0007,Momentum,Absent,3.12,5.82,1.59,Batch B
PX-0008,Momentum,Absent,3.84,3.67,1.49,Batch B
PX-0009,Clarity,Verified,1.92,3.28,1.63,Batch A
PX-0010,Momentum,Absent,5.23,5.37,3.96,Batch B
PX-0011,Clarity,Absent,4.69,4.81,3.05,Batch A
PX-0012,Clarity,Absent,3.42,3.45,2.84,Batch B
PX-0013,Momentum,Verified,4.79,6.13,2.66,Batch C
PX-0014,Momentum,Absent,6.36,5.18,1.46,Batch A
PX-0015,Clarity,Absent,4.17,3.01,3.57,Batch B
PX-0016,Momentum,Verified,2.56,8.38,2.07,Batch B
PX-0017,Clarity,Verified,3.36,4.29,3.63,Batch B
PX-0018,Momentum,Verified,4.43,4.05,2.26,Batch C
PX-0019,Clarity,Verified,4.48,7.05,3.3,Batch B
PX-0020,Momentum,Absent,4.7,3.27,3.04,Batch C
PX-0021,Clarity,Verified,4.8,4.74,1.69,Batch A
PX-0022,Momentum,Verified,5.15,,2.48,Batch C
PX-0023,Momentum,Verified,5.29,6.86,3.14,Batch B
PX-0024,Momentum,Verified,6.79,,2.58,Batch A
PX-0025,Momentum,Absent,5.25,3.72,2.0,Batch B
PX-0026,Momentum,Verified,4.31,,3.71,Batch C
PX-0027,Momentum,Verified,3.84,3.77,1.69,Batch A
PX-0028,Clarity,Verified,5.25,3.65,4.05,Batch C
PX-0029,Momentum,Absent,3.64,3.62,1.61,Batch B
PX-0030,Clarity,Absent,5.15,5.43,3.23,Batch B
PX-0031,Clarity,Absent,5.56,2.29,3.12,Batch A
PX-0032,Momentum,Verified,3.27,6.31,2.69,Batch A
PX-0033,Momentum,Verified,4.21,6.74,1.53,Batch C
PX-0034,Momentum,Verified,5.0,6.34,1.97,Batch C
PX-0035,Clarity,Absent,6.13,3.82,2.53,Batch C
PX-0036,Momentum,Absent,7.84,7.37,2.89,Batch B
PX-0037,Momentum,Absent,6.72,3.6,2.95,Batch C
PX-0038,Clarity,Verified,3.81,5.1,2.15,Batch A
PX-0039,Momentum,Verified,4.4,4.8,0.66,Batch B
PX-0040,Momentum,Absent,4.14,2.77,1.72,Batch A
PX-0041,Clarity,Verified,5.63,2.93,3.16,Batch C
PX-0042,Momentum,Verified,3.95,5.86,1.93,Batch B
PX-0043,Momentum,Verified,5.81,3.25,1.54,Batch C
PX-0044,Momentum,Verified,4.26,6.48,3.9,Batch B
PX-0045,Momentum,Absent,3.53,3.49,3.51,Batch B
PX-0046,Clarity,Absent,6.28,5.1,1.69,Batch C
PX-0047,Momentum,Verified,7.5,7.74,2.55,Batch B
PX-0048,Momentum,Absent,4.39,4.95,3.37,Batch A
PX-0049,Momentum,Verified,5.15,6.88,2.96,Batch A
PX-0050,Clarity,Verified,5.49,5.69,2.24,Batch C
PX-0051,Momentum,Absent,5.73,4.64,2.45,Batch A
PX-0052,Clarity,Absent,2.42,,1.8,Batch B
PX-0053,Clarity,Absent,6.76,5.95,2.03,Batch C
PX-0054,Momentum,Verified,6.33,5.39,1.22,Batch B
PX-0055,Clarity,Absent,3.48,5.71,3.5,Batch A
PX-0056,Clarity,Verified,2.03,3.63,2.88,Batch C
PX-0057,Clarity,Verified,3.64,6.52,1.42,Batch B
PX-0058,Momentum,Absent,5.65,4.53,2.63,Batch A
PX-0059,Momentum,Absent,4.93,3.66,1.48,Batch C
PX-0060,Momentum,Verified,4.59,5.84,3.38,Batch C
PX-0061,Momentum,Absent,5.34,3.3,4.22,Batch B
PX-0062,Momentum,Verified,4.38,5.99,1.06,Batch A
PX-0063,Clarity,Absent,3.96,2.98,2.85,Batch B
PX-0064,Momentum,Verified,3.68,5.35,0.58,Batch C
PX-0065,Momentum,Verified,4.17,4.4,2.03,Batch A
PX-0066,Clarity,Absent,4.87,3.58,3.26,Batch C
